title,CSns,CSs,r_p,pi,price,condition,localint
1,14.61967291818728,2.5578814604030177e-22,0.20042694585616663,12.433835793070902,27.0,3.0,1.0
1,14.464368211465933,1.0062248667323141e-21,0.20283569233038148,12.30175122236467,26.640001,4.0,1.0
1,14.61967291818728,2.5578814604030177e-22,0.20042694585616663,12.433835793070902,27.0,4.0,1.0
1,14.923000606170994,1.782202143406841e-23,0.1959340363213461,12.691811924615505,27.700001,3.0,1.0
1,11.884300615599981,1.3324784885950934e-11,0.2557402194938658,10.107438326215938,20.5,4.0,1.0
1,14.18944345626967,1.1477399300604355e-20,0.20728795893470464,12.067931404322916,26.0,3.0,1.0
1,18.97220852005711,1.834856680462196e-38,0.1567772913539388,16.135608962689442,36.75,4.0,1.0
1,12.296969351523375,3.017703973276349e-13,0.24543590438843685,10.45840755295291,21.5,3.0,1.0
1,12.711936547317828,6.809532325911943e-15,0.2358391175803255,10.811331589002783,22.5,4.0,1.0
1,10.441727450286036,7.641283505620984e-6,0.2985742519728055,8.880555690258205,16.99,1.0,1.0
1,20.91443741054959,1.6298988371759525e-45,0.1479983925628985,17.787448592213536,41.0,2.0,1.0
1,21.826070506078633,7.796581366507523e-49,0.1455814767293204,18.562780316580355,43.0,1.0,1.0
1,21.343417406322786,4.485098452604203e-47,0.1467326589491278,18.152290326758816,41.940002,4.0,1.0
1,14.61967291818728,2.5578814604030177e-22,0.20042694585616663,12.433835793070902,27.0,3.0,1.0
1,1.0352588254516224,11.240633958145574,0.005514357303976032,10.440482214530782,13.0,3.0,1.0
2,14.899892586795762,3.783742497332634e-54,0.20602134869452912,12.672158863974365,29.0,5.0,0.0
2,11.295943725483157,2.3106107654323502e-31,0.23708230247378612,9.607048679981142,20.4,5.0,0.0
2,10.397694863089255,1.1102686287790452e-25,0.25227907365742785,8.843100066436966,18.25,3.0,0.0
2,7.577836413358908,1.9222080136376828e-8,0.32378393252219834,6.4448482805828,11.7,2.0,0.0
2,14.482367471356199,1.7015219831718037e-51,0.20752027674347429,12.31705935156324,28.0,4.0,0.0
2,13.64389066815001,3.42363965646437e-46,0.21207349783366472,11.603946072921062,26.0,4.0,0.0
2,15.004002817846564,8.214679550644765e-55,0.2057254163336332,12.760703219549786,29.25,4.0,0.0
