title,CSns,CSs,r_p,pi,price,condition,localint
1,2.477799420835311,0.0,0.14379104232034104,2.313698236231998,5.0,2.0,0.0
2,6.713041640443742,0.0,0.33757913624642455,6.268446296597542,15.0,4.0,1.0
3,3.615758002887701,0.0,0.1988460868696093,3.3762914155104418,6.5,5.0,1.0
4,1.5669337126243859,0.0,0.07469255098132078,1.4631578878847684,3.0,4.0,0.0
5,5.140816851825092,0.0,0.21838907512550368,4.800347753269579,10.0,5.0,1.0
6,5.530011635084551,0.0,0.23251137704847377,5.1637667112393615,11.0,5.0,1.0
7,0.5365825965825011,0.0,0.06622888946369578,0.5010454828854505,1.0,5.0,0.0
8,6.713041640443742,0.0,0.33757913624642455,6.268446296597542,15.0,5.0,1.0
9,3.846919184172963,0.0,0.19892617486053085,3.5921431155825605,7.0,2.0,1.0
10,2.267933864481962,0.0,0.9999937662248237,2.1177317816846406,45.0,4.0,1.0
11,4.728325159502496,0.0,0.20823763700906964,4.415174807888309,9.0,4.0,1.0
12,2.8846531259071844,0.0,0.2897275033425333,2.6936065903601554,6.5,4.0,0.0
13,0.5365825965825011,0.0,0.06622888946369578,0.5010454828854505,1.0,5.0,0.0
14,4.750737751338155,0.0,0.8734607078476806,4.436103045163489,25.0,5.0,1.0
15,0.5365825965825011,0.0,0.06622888946369578,0.5010454828854505,1.0,2.0,0.0
16,2.477799420835311,0.0,0.14379104232034104,2.313698236231998,5.0,2.0,0.0
17,0.5365825965825011,0.0,0.06622888946369578,0.5010454828854505,1.0,2.0,0.0
18,0.5365825965825011,0.0,0.06622888946369578,0.5010454828854505,1.0,5.0,0.0
19,0.5365825965825011,0.0,0.06622888946369578,0.5010454828854505,1.0,5.0,0.0
20,6.713041640443742,0.0,0.33757913624642455,6.268446296597542,15.0,4.0,1.0
21,4.514609728484176,0.0,0.20456234704218218,4.215613450481921,8.5,2.0,1.0
22,2.477799420835311,0.0,0.14379104232034104,2.313698236231998,5.0,4.0,0.0
23,2.798169116301298,0.0,0.2273046104160263,2.612850295558878,6.0,4.0,0.0
24,3.615758002887701,0.0,0.1988460868696093,3.3762914155104418,6.5,5.0,1.0
25,0.5365825965825011,0.0,0.06622888946369578,0.5010454828854505,1.0,5.0,0.0
26,2.798169116301298,0.0,0.2273046104160263,2.612850295558878,6.0,4.0,0.0
27,0.5365825965825011,0.0,0.06622888946369578,0.5010454828854505,1.0,5.0,0.0
28,0.5365825965825011,0.0,0.06622888946369578,0.5010454828854505,1.0,2.0,0.0
29,0.5365825965825011,0.0,0.06622888946369578,0.5010454828854505,1.0,2.0,0.0
30,6.713041640443742,0.0,0.33757913624642455,6.268446296597542,15.0,5.0,1.0
31,6.713041640443742,0.0,0.33757913624642455,6.268446296597542,15.0,4.0,1.0
32,1.5669337126243859,0.0,0.07469255098132078,1.4631578878847684,3.0,5.0,0.0
