title,CSns,CSs,r_p,pi,price,condition,localint
1,4.027804596207093,0.0,0.18508797339595376,3.4759694096653098,7.75,3.0,1.0
2,4.027804596207093,0.0,0.18508797339595376,3.4759694096653098,7.75,3.0,1.0
3,1.9683218257824702,0.0,0.9991591397348868,1.6986490509592385,25.0,5.0,1.0
4,1.7362444311366718,0.0,0.12192047067874337,1.4983677549839405,3.0,4.0,1.0
5,4.027804596207093,0.0,0.18508797339595376,3.4759694096653098,7.75,3.0,1.0
6,4.027804596207093,0.0,0.18508797339595376,3.4759694096653098,7.75,3.0,1.0
7,1.7362444311366718,0.0,0.12192047067874337,1.4983677549839405,3.0,4.0,1.0
8,2.622907480064746,0.0,0.12344218151541747,2.263552252180462,5.0,5.0,0.0
9,1.9683218257824702,0.0,0.9991591397348868,1.6986490509592385,25.0,5.0,1.0
10,4.491322221743024,0.0,0.23100675925081401,3.875982133400916,9.0,4.0,1.0
11,4.777040551921792,0.0,0.28137984611272376,4.122555211056492,10.0,5.0,1.0
12,1.11165063759178,0.0,0.06877453166781082,0.9593473362989555,2.0,2.0,0.0
13,2.622907480064746,0.0,0.12344218151541747,2.263552252180462,5.0,4.0,0.0
14,4.491322221743024,0.0,0.23100675925081401,3.875982133400916,9.0,4.0,1.0
15,4.027804596207093,0.0,0.18508797339595376,3.4759694096653098,7.75,3.0,1.0
16,1.9683218257824702,0.0,0.9991591397348868,1.6986490509592385,25.0,5.0,1.0
17,2.622907480064746,0.0,0.12344218151541747,2.263552252180462,5.0,5.0,0.0
18,3.9245665060392927,0.0,0.1778275633729902,3.386875603160032,7.5,4.0,1.0
19,4.777040551921792,0.0,0.28137984611272376,4.122555211056492,10.0,5.0,1.0
20,2.622907480064746,0.0,0.12344218151541747,2.263552252180462,5.0,4.0,0.0
21,2.622907480064746,0.0,0.12344218151541747,2.263552252180462,5.0,5.0,0.0
22,1.11165063759178,0.0,0.06877453166781082,0.9593473362989555,2.0,2.0,0.0
23,4.777040551921792,0.0,0.28137984611272376,4.122555211056492,10.0,5.0,1.0
24,1.9683218257824702,0.0,0.9991591397348868,1.6986490509592385,25.0,5.0,1.0
25,1.7362444311366718,0.0,0.12192047067874337,1.4983677549839405,3.0,4.0,1.0
26,2.622907480064746,0.0,0.12344218151541747,2.263552252180462,5.0,5.0,0.0
27,1.9683218257824702,0.0,0.9991591397348868,1.6986490509592385,25.0,5.0,1.0
28,1.7362444311366718,0.0,0.12192047067874337,1.4983677549839405,3.0,4.0,1.0
29,1.7362444311366718,0.0,0.12192047067874337,1.4983677549839405,3.0,4.0,1.0
30,1.11165063759178,0.0,0.06877453166781082,0.9593473362989555,2.0,2.0,0.0
31,2.622907480064746,0.0,0.12344218151541747,2.263552252180462,5.0,4.0,0.0
32,2.622907480064746,0.0,0.12344218151541747,2.263552252180462,5.0,4.0,0.0
33,4.317759457978356,0.0,0.2105768776476441,3.7261985867832212,8.5,2.0,1.0
34,1.7362444311366718,0.0,0.12192047067874337,1.4983677549839405,3.0,4.0,1.0
35,1.11165063759178,0.0,0.06877453166781082,0.9593473362989555,2.0,2.0,0.0
36,4.027804596207093,0.0,0.18508797339595376,3.4759694096653098,7.75,3.0,1.0
37,1.11165063759178,0.0,0.06877453166781082,0.9593473362989555,2.0,2.0,0.0
38,1.9683218257824702,0.0,0.9991591397348868,1.6986490509592385,25.0,5.0,1.0
39,3.9245665060392927,0.0,0.1778275633729902,3.386875603160032,7.5,4.0,1.0
40,4.027804596207093,0.0,0.18508797339595376,3.4759694096653098,7.75,3.0,1.0
41,4.491322221743024,0.0,0.23100675925081401,3.875982133400916,9.0,4.0,1.0
42,4.491322221743024,0.0,0.23100675925081401,3.875982133400916,9.0,4.0,1.0
43,1.9683218257824702,0.0,0.9991591397348868,1.6986490509592385,25.0,5.0,1.0
44,2.622907480064746,0.0,0.12344218151541747,2.263552252180462,5.0,4.0,0.0
45,4.027804596207093,0.0,0.18508797339595376,3.4759694096653098,7.75,3.0,1.0
46,1.9683218257824702,0.0,0.9991591397348868,1.6986490509592385,25.0,5.0,1.0
47,4.491322221743024,0.0,0.23100675925081401,3.875982133400916,9.0,4.0,1.0
48,1.7362444311366718,0.0,0.12192047067874337,1.4983677549839405,3.0,4.0,1.0
49,4.317759457978356,0.0,0.2105768776476441,3.7261985867832212,8.5,2.0,1.0
50,1.9683218257824702,0.0,0.9991591397348868,1.6986490509592385,25.0,5.0,1.0
51,4.491322221743024,0.0,0.23100675925081401,3.875982133400916,9.0,4.0,1.0
52,4.027804596207093,0.0,0.18508797339595376,3.4759694096653098,7.75,3.0,1.0
53,1.9683218257824702,0.0,0.9991591397348868,1.6986490509592385,25.0,5.0,1.0
54,1.7362444311366718,0.0,0.12192047067874337,1.4983677549839405,3.0,4.0,1.0
55,2.622907480064746,0.0,0.12344218151541747,2.263552252180462,5.0,5.0,0.0
56,2.622907480064746,0.0,0.12344218151541747,2.263552252180462,5.0,4.0,0.0
57,1.9683218257824702,0.0,0.9991591397348868,1.6986490509592385,25.0,5.0,1.0
58,2.622907480064746,0.0,0.12344218151541747,2.263552252180462,5.0,4.0,0.0
59,1.7362444311366718,0.0,0.12192047067874337,1.4983677549839405,3.0,4.0,1.0
60,4.491322221743024,0.0,0.23100675925081401,3.875982133400916,9.0,4.0,1.0
61,4.491322221743024,0.0,0.23100675925081401,3.875982133400916,9.0,4.0,1.0
62,1.7362444311366718,0.0,0.12192047067874337,1.4983677549839405,3.0,4.0,1.0
63,0.5621042126409724,0.0,0.06987926309641437,0.4850923130739596,1.0,5.0,0.0
64,2.622907480064746,0.0,0.12344218151541747,2.263552252180462,5.0,4.0,0.0
65,1.11165063759178,0.0,0.06877453166781082,0.9593473362989555,2.0,2.0,0.0
66,4.777040551921792,0.0,0.28137984611272376,4.122555211056492,10.0,5.0,1.0
67,4.777040551921792,0.0,0.28137984611272376,4.122555211056492,10.0,5.0,1.0
68,1.9683218257824702,0.0,0.9991591397348868,1.6986490509592385,25.0,5.0,1.0
69,2.622907480064746,0.0,0.12344218151541747,2.263552252180462,5.0,5.0,0.0
70,4.777040551921792,0.0,0.28137984611272376,4.122555211056492,10.0,5.0,1.0
71,4.491322221743024,0.0,0.23100675925081401,3.875982133400916,9.0,4.0,1.0
72,3.9245665060392927,0.0,0.1778275633729902,3.386875603160032,7.5,4.0,1.0
73,1.9683218257824702,0.0,0.9991591397348868,1.6986490509592385,25.0,5.0,1.0
74,4.027804596207093,0.0,0.18508797339595376,3.4759694096653098,7.75,3.0,1.0
75,4.027804596207093,0.0,0.18508797339595376,3.4759694096653098,7.75,3.0,1.0
76,2.622907480064746,0.0,0.12344218151541747,2.263552252180462,5.0,4.0,0.0
77,4.317759457978356,0.0,0.2105768776476441,3.7261985867832212,8.5,2.0,1.0
78,2.622907480064746,0.0,0.12344218151541747,2.263552252180462,5.0,5.0,0.0
79,1.9683218257824702,0.0,0.9991591397348868,1.6986490509592385,25.0,5.0,1.0
80,4.777040551921792,0.0,0.28137984611272376,4.122555211056492,10.0,5.0,1.0
81,4.317759457978356,0.0,0.2105768776476441,3.7261985867832212,8.5,2.0,1.0
82,4.777040551921792,0.0,0.28137984611272376,4.122555211056492,10.0,5.0,1.0
83,1.9683218257824702,0.0,0.9991591397348868,1.6986490509592385,25.0,5.0,1.0
84,1.7362444311366718,0.0,0.12192047067874337,1.4983677549839405,3.0,4.0,1.0
85,4.027804596207093,0.0,0.18508797339595376,3.4759694096653098,7.75,3.0,1.0
86,1.7362444311366718,0.0,0.12192047067874337,1.4983677549839405,3.0,4.0,1.0
87,1.11165063759178,0.0,0.06877453166781082,0.9593473362989555,2.0,2.0,0.0
88,3.9245665060392927,0.0,0.1778275633729902,3.386875603160032,7.5,4.0,1.0
89,1.7362444311366718,0.0,0.12192047067874337,1.4983677549839405,3.0,4.0,1.0
90,2.622907480064746,0.0,0.12344218151541747,2.263552252180462,5.0,4.0,0.0
91,1.7362444311366718,0.0,0.12192047067874337,1.4983677549839405,3.0,4.0,1.0
92,1.7362444311366718,0.0,0.12192047067874337,1.4983677549839405,3.0,4.0,1.0
93,4.317759457978356,0.0,0.2105768776476441,3.7261985867832212,8.5,2.0,1.0
94,4.027804596207093,0.0,0.18508797339595376,3.4759694096653098,7.75,3.0,1.0
95,2.622907480064746,0.0,0.12344218151541747,2.263552252180462,5.0,4.0,0.0
96,3.9245665060392927,0.0,0.1778275633729902,3.386875603160032,7.5,4.0,1.0
97,2.622907480064746,0.0,0.12344218151541747,2.263552252180462,5.0,4.0,0.0
98,4.317759457978356,0.0,0.2105768776476441,3.7261985867832212,8.5,2.0,1.0
99,2.622907480064746,0.0,0.12344218151541747,2.263552252180462,5.0,5.0,0.0
100,4.491322221743024,0.0,0.23100675925081401,3.875982133400916,9.0,4.0,1.0
101,1.9683218257824702,0.0,0.9991591397348868,1.6986490509592385,25.0,5.0,1.0
102,1.9683218257824702,0.0,0.9991591397348868,1.6986490509592385,25.0,5.0,1.0
103,4.491322221743024,0.0,0.23100675925081401,3.875982133400916,9.0,4.0,1.0
104,4.491322221743024,0.0,0.23100675925081401,3.875982133400916,9.0,4.0,1.0
105,4.491322221743024,0.0,0.23100675925081401,3.875982133400916,9.0,4.0,1.0
106,1.7362444311366718,0.0,0.12192047067874337,1.4983677549839405,3.0,4.0,1.0
107,1.7362444311366718,0.0,0.12192047067874337,1.4983677549839405,3.0,4.0,1.0
108,3.0328137120800194,0.0,0.17401161384104522,2.617298688802037,6.0,4.0,0.0
109,1.7362444311366718,0.0,0.12192047067874337,1.4983677549839405,3.0,4.0,1.0
110,4.027804596207093,0.0,0.18508797339595376,3.4759694096653098,7.75,3.0,1.0
111,1.11165063759178,0.0,0.06877453166781082,0.9593473362989555,2.0,2.0,0.0
112,1.7362444311366718,0.0,0.12192047067874337,1.4983677549839405,3.0,4.0,1.0
