title,CSns,CSs,r_p,pi,price,condition,localint,sold
1,3.9776445114845975,5.259352051753379,0.0006599057661202413,7.989809990092375,15.95,5.0,1.0,0.0
1,0.8929426352280706,0.0,0.9928061303402747,0.7723768151997352,44.25,5.0,1.0,1.0
2,10.814396303710227,1.1024651411111621e-9,0.23353946040326407,9.354227972422425,19.5,5.0,0.0,0.0
2,10.395272113178983,3.412599779949418e-9,0.24073167257964517,8.991694263200767,18.5,4.0,0.0,0.0
2,7.699512305831858,3.886787905707693e-6,0.31422944223547056,6.659921433716189,12.15,3.0,0.0,0.5
2,2.1303246091927983,0.04433888794043844,0.3092989727394271,1.881038713777933,3.0,3.0,0.0,0.0
2,7.6448170876496775,2.0517376595717352e-5,0.5258089875320664,6.612625592215359,10.46,2.0,0.0,1.0
2,11.653292017841553,1.1374870604043127e-10,0.22122876954453022,10.079855323653453,21.5,5.0,0.0,0.0
2,10.395272113178983,3.412599779949418e-9,0.24073167257964517,8.991694263200767,18.5,5.0,0.0,0.0
2,14.182029361693964,1.1685330525109905e-13,0.19891809369060587,12.267160553551832,27.5,5.0,0.0,0.0
2,16.67249918838172,1.1271785332185184e-16,0.1953650699805743,14.421365176782446,33.5,4.0,0.0,0.0
2,12.031607907299783,4.075549404347637e-11,0.21661807870290764,10.407090702786396,22.4,5.0,0.0,0.5
2,7.454665469090803,6.365491604281829e-6,0.3099131637992152,6.448136154326752,11.7,2.0,0.0,0.0
2,14.392536068001576,6.5638765326462e-14,0.1979452434297087,12.449244478074588,28.0,4.0,0.0,0.0
2,9.975564355426958,1.0516557143333481e-8,0.24865435560666804,8.628655784612048,17.5,4.0,0.0,0.0
2,19.92551965920085,4.258402107543458e-21,0.22218021859010395,17.235160253763038,42.25,5.0,0.0,0.0
2,9.33844454966064,5.698194462744627e-8,0.2620610433802375,8.077560438533087,15.99,5.0,0.0,0.0
2,14.392536068001576,6.5638765326462e-14,0.1979452434297087,12.449244478074588,28.0,5.0,0.0,0.0
2,12.07367047053819,3.635754869044471e-11,0.21609758105784438,10.44347394550335,22.5,4.0,0.0,0.5
2,15.445991823562789,3.648815392311054e-15,0.19351749934997783,13.360461805295534,30.5,4.0,0.0,0.5
2,7.592852366092961,4.600810243899654e-6,0.30611725006856777,6.56766342091609,12.0,3.0,0.0,0.0
2,0.7133008295338812,0.17224640472722422,0.17925353405757427,0.7659799471136564,1.79,3.0,0.0,0.0
3,1.1740768877002628,3.181081338154278,0.0013118263805421237,3.7671213216482715,4.5,4.0,1.0,0.0
3,5.522199338660473,1.0375377590080673e-51,0.2820741467001746,4.776587621446992,11.5,3.0,1.0,0.0
3,5.384576402433351,5.458053229910501e-48,0.26109412720920916,4.657546642790631,11.0,4.0,1.0,0.0
3,3.7072781360135085,1.8101312627586436e-122,0.9042137550831397,3.2067185133593332,21.0,5.0,1.0,0.5
3,3.7072781360135085,1.8101312627586436e-122,0.9042137550831397,3.2067185133593332,21.0,5.0,1.0,0.5
3,3.083845563875106,3.953535901665917e-7,0.14526191850593484,2.6674626415920466,5.5,4.0,1.0,0.0
3,3.570420848692969,1.5312396365123996e-14,0.15453360112001846,3.0883398050893422,6.5,5.0,1.0,0.0
3,4.257112373289536,1.1174536286050037e-25,0.1765978468367747,3.6823136975522854,8.0,4.0,1.0,0.0
3,3.68871708353347,2.1392585168028424e-16,0.15749328210192878,3.190663588848281,6.75,4.0,1.0,0.0
4,1.144301015617286,23.198141527270753,0.9999987436254729,21.05570672034965,21.5,4.0,1.0,0.0
4,5.960870562353384,21.351873619205776,0.021287368381828355,23.6249558852452,27.0,4.0,1.0,0.0
4,25.997436113324728,0.031550618915703106,0.09007019240474641,22.514532380894916,49.389999,5.0,1.0,0.0
4,18.741118775219686,0.3609738317351043,0.999997692608142,16.522912972614147,43.0,4.0,1.0,0.0
4,0.14452603518334425,26.6019841821014,0.0071895983922239904,23.135175278148882,26.0,4.0,1.0,0.0
4,5.960870562353384,21.351873619205776,0.021287368381828355,23.6249558852452,27.0,4.0,1.0,0.0
4,5.960870562353384,21.351873619205776,0.021287368381828355,23.6249558852452,27.0,4.0,1.0,0.0
4,17.874055414501846,2.8274304172138196,0.9999986567756439,17.906354860655828,36.75,4.0,1.0,0.0
4,0.14452603518334425,26.6019841821014,0.0071895983922239904,23.135175278148882,26.0,3.0,1.0,0.0
4,4.8487563557515765,22.35430823908426,0.0164981502736179,23.53008532296754,26.790001,4.0,1.0,0.0
5,1.1740768877002628,3.181081338154278,0.0013118263805421237,3.7671213216482715,4.5,4.0,1.0,0.0
5,5.522199338660473,1.0375377590080673e-51,0.2820741467001746,4.776587621446992,11.5,3.0,1.0,0.0
5,5.384576402433351,5.458053229910501e-48,0.26109412720920916,4.657546642790631,11.0,4.0,1.0,0.0
5,3.7072781360135085,1.8101312627586436e-122,0.9042137550831397,3.2067185133593332,21.0,5.0,1.0,0.5
5,3.7072781360135085,1.8101312627586436e-122,0.9042137550831397,3.2067185133593332,21.0,5.0,1.0,0.5
5,3.083845563875106,3.953535901665917e-7,0.14526191850593484,2.6674626415920466,5.5,4.0,1.0,0.0
5,3.570420848692969,1.5312396365123996e-14,0.15453360112001846,3.0883398050893422,6.5,5.0,1.0,0.0
5,4.257112373289536,1.1174536286050037e-25,0.1765978468367747,3.6823136975522854,8.0,4.0,1.0,0.0
5,3.68871708353347,2.1392585168028424e-16,0.15749328210192878,3.190663588848281,6.75,4.0,1.0,0.0
6,1.144301015617286,23.198141527270753,0.9999987436254729,21.05570672034965,21.5,4.0,1.0,0.0
