title,CSns,CSs,r_p,pi,price,condition,localint
1,2.2919541723976855,0.0,0.3499153682319399,1.8589277118481022,3.0,4.0,1.0
2,2.7470622679147283,0.0,0.11435375257264715,2.2280507339537334,5.0,5.0,0.0
3,2.7470622679147283,0.0,0.11435375257264715,2.2280507339537334,5.0,5.0,0.0
4,2.7470622679147283,0.0,0.11435375257264715,2.2280507339537334,5.0,4.0,0.0
5,12.196105909823856,0.0,0.3000318570521873,9.891855398089577,25.0,5.0,1.0
6,2.7470622679147283,0.0,0.11435375257264715,2.2280507339537334,5.0,4.0,0.0
7,12.196105909823856,0.0,0.3000318570521873,9.891855398089577,25.0,5.0,1.0
8,2.7470622679147283,0.0,0.11435375257264715,2.2280507339537334,5.0,5.0,0.0
9,12.196105909823856,0.0,0.3000318570521873,9.891855398089577,25.0,5.0,1.0
10,2.7470622679147283,0.0,0.11435375257264715,2.2280507339537334,5.0,5.0,0.0
11,5.491331740457563,0.0,0.2758595975511836,4.453836324575693,8.5,2.0,1.0
12,5.491331740457563,0.0,0.2758595975511836,4.453836324575693,8.5,2.0,1.0
13,12.196105909823856,0.0,0.3000318570521873,9.891855398089577,25.0,5.0,1.0
14,5.491331740457563,0.0,0.2758595975511836,4.453836324575693,8.5,2.0,1.0
15,2.7470622679147283,0.0,0.11435375257264715,2.2280507339537334,5.0,5.0,0.0
16,2.7470622679147283,0.0,0.11435375257264715,2.2280507339537334,5.0,4.0,0.0
17,12.196105909823856,0.0,0.3000318570521873,9.891855398089577,25.0,5.0,1.0
18,2.7470622679147283,0.0,0.11435375257264715,2.2280507339537334,5.0,4.0,0.0
19,2.7470622679147283,0.0,0.11435375257264715,2.2280507339537334,5.0,5.0,0.0
20,12.196105909823856,0.0,0.3000318570521873,9.891855398089577,25.0,5.0,1.0
21,12.196105909823856,0.0,0.3000318570521873,9.891855398089577,25.0,5.0,1.0
22,12.196105909823856,0.0,0.3000318570521873,9.891855398089577,25.0,5.0,1.0
23,2.7470622679147283,0.0,0.11435375257264715,2.2280507339537334,5.0,5.0,0.0
24,12.196105909823856,0.0,0.3000318570521873,9.891855398089577,25.0,5.0,1.0
25,5.491331740457563,0.0,0.2758595975511836,4.453836324575693,8.5,2.0,1.0
26,2.2919541723976855,0.0,0.3499153682319399,1.8589277118481022,3.0,4.0,1.0
27,5.491331740457563,0.0,0.2758595975511836,4.453836324575693,8.5,2.0,1.0
28,2.7470622679147283,0.0,0.11435375257264715,2.2280507339537334,5.0,4.0,0.0
29,2.7470622679147283,0.0,0.11435375257264715,2.2280507339537334,5.0,5.0,0.0
30,5.491331740457563,0.0,0.2758595975511836,4.453836324575693,8.5,2.0,1.0
31,12.196105909823856,0.0,0.3000318570521873,9.891855398089577,25.0,5.0,1.0
32,2.2919541723976855,0.0,0.3499153682319399,1.8589277118481022,3.0,4.0,1.0
33,2.7470622679147283,0.0,0.11435375257264715,2.2280507339537334,5.0,5.0,0.0
34,5.491331740457563,0.0,0.2758595975511836,4.453836324575693,8.5,2.0,1.0
35,2.7470622679147283,0.0,0.11435375257264715,2.2280507339537334,5.0,5.0,0.0
36,2.7470622679147283,0.0,0.11435375257264715,2.2280507339537334,5.0,4.0,0.0
37,5.491331740457563,0.0,0.2758595975511836,4.453836324575693,8.5,2.0,1.0
38,2.7470622679147283,0.0,0.11435375257264715,2.2280507339537334,5.0,5.0,0.0
39,2.7470622679147283,0.0,0.11435375257264715,2.2280507339537334,5.0,5.0,0.0
40,2.2919541723976855,0.0,0.3499153682319399,1.8589277118481022,3.0,4.0,1.0
41,5.491331740457563,0.0,0.2758595975511836,4.453836324575693,8.5,2.0,1.0
42,5.491331740457563,0.0,0.2758595975511836,4.453836324575693,8.5,2.0,1.0
43,2.2919541723976855,0.0,0.3499153682319399,1.8589277118481022,3.0,4.0,1.0
44,5.491331740457563,0.0,0.2758595975511836,4.453836324575693,8.5,2.0,1.0
45,5.491331740457563,0.0,0.2758595975511836,4.453836324575693,8.5,2.0,1.0
46,2.7470622679147283,0.0,0.11435375257264715,2.2280507339537334,5.0,5.0,0.0
47,2.7470622679147283,0.0,0.11435375257264715,2.2280507339537334,5.0,5.0,0.0
48,5.491331740457563,0.0,0.2758595975511836,4.453836324575693,8.5,2.0,1.0
49,5.491331740457563,0.0,0.2758595975511836,4.453836324575693,8.5,2.0,1.0
50,2.7470622679147283,0.0,0.11435375257264715,2.2280507339537334,5.0,4.0,0.0
51,2.7470622679147283,0.0,0.11435375257264715,2.2280507339537334,5.0,5.0,0.0
52,2.7470622679147283,0.0,0.11435375257264715,2.2280507339537334,5.0,5.0,0.0
53,12.196105909823856,0.0,0.3000318570521873,9.891855398089577,25.0,5.0,1.0
54,5.491331740457563,0.0,0.2758595975511836,4.453836324575693,8.5,2.0,1.0
55,2.7470622679147283,0.0,0.11435375257264715,2.2280507339537334,5.0,5.0,0.0
56,12.196105909823856,0.0,0.3000318570521873,9.891855398089577,25.0,5.0,1.0
57,12.196105909823856,0.0,0.3000318570521873,9.891855398089577,25.0,5.0,1.0
58,2.7470622679147283,0.0,0.11435375257264715,2.2280507339537334,5.0,5.0,0.0
59,12.196105909823856,0.0,0.3000318570521873,9.891855398089577,25.0,5.0,1.0
60,5.491331740457563,0.0,0.2758595975511836,4.453836324575693,8.5,2.0,1.0
61,12.196105909823856,0.0,0.3000318570521873,9.891855398089577,25.0,5.0,1.0
62,5.491331740457563,0.0,0.2758595975511836,4.453836324575693,8.5,2.0,1.0
63,5.491331740457563,0.0,0.2758595975511836,4.453836324575693,8.5,2.0,1.0
64,5.491331740457563,0.0,0.2758595975511836,4.453836324575693,8.5,2.0,1.0
65,5.491331740457563,0.0,0.2758595975511836,4.453836324575693,8.5,2.0,1.0
66,2.7470622679147283,0.0,0.11435375257264715,2.2280507339537334,5.0,5.0,0.0
67,2.7470622679147283,0.0,0.11435375257264715,2.2280507339537334,5.0,5.0,0.0
68,2.7470622679147283,0.0,0.11435375257264715,2.2280507339537334,5.0,5.0,0.0
69,2.2919541723976855,0.0,0.3499153682319399,1.8589277118481022,3.0,4.0,1.0
70,2.7470622679147283,0.0,0.11435375257264715,2.2280507339537334,5.0,5.0,0.0
