0.32135,0.032599,0.050652,0.3524,0.55592,0.36383,0.53012,0.37978,0.50387
5.6459,0.97882,8.2532,28.09,60.241,29.767,56.144,30.872,52.331
14.855,2.4896,5.3777,16.666,37.452,17.273,34.847,19.346,32.456
14.771,0.043978,1.2825,11.672,15.632,12.327,15.445,13.131,15.198
-0.15785,0.00093527,0.024709,-0.19982,-0.1351,-0.19087,-0.13854,-0.17757,-0.14594
0.05,0,3.4782e-17,0.05,0.05,0.05,0.05,0.05,0.05
-0.91217,0.0036994,0.066669,-1.044,-0.75644,-0.99776,-0.79409,-0.94789,-0.82275
1.1614,0.03922,0.056899,1.0057,1.2378,1.0186,1.2149,1.0297,1.1721
0.87235,0.0078444,0.075865,0.79061,1.1088,0.8157,1.0604,0.8425,1.0307
1,0,0,1,1,1,1,1,1
14.897,0.79283,3.6088,11.046,25.068,11.517,23.566,12.849,20.636
2.1092,0.21337,1.7902,1.2001,6.9781,1.2946,5.8446,1.5893,4.3496
7.9546,0.42396,1.961,5.2173,13.96,6.0882,12.433,6.9828,10.829
0.65151,0.064571,0.43244,0.32454,2.0259,0.41217,1.5655,0.50676,1.176
1.8521,0.27753,0.17332,0.48836,1.2546,0.53961,1.095,0.60522,0.99425
0.042541,0.011864,0.0019868,0.004163,0.012798,0.0043647,0.010934,0.0051523,0.0095939
1.8469,0.18779,0.1685,1.649,2.3015,1.6982,2.2482,1.7468,2.1978
0.80267,0.013783,0.09405,0.4694,0.86514,0.56197,0.84505,0.65996,0.82605
-1.3647,0.027288,0.19306,-1.7763,-0.99982,-1.7371,-1.0817,-1.6911,-1.2518
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0.25921,0.0072792,0.019672,0.2496,0.32816,0.25522,0.31839,0.2599,0.30498
1.7296,0.052493,0.089846,1.5693,1.9513,1.5835,1.8856,1.6191,1.8326
15.253,0.24869,0.79761,13.659,16.896,13.934,16.518,14.174,16.253
0.07378,0.0012892,0.010014,0.050725,0.092265,0.055415,0.08972,0.058825,0.08514
