1,15.389,-2.5,1,0.44337,0.33376,0.88208,0.5,0.26398,-9.1071,81.328,-12.616,1.7099,8.7109,0.92511,0.35303,4.7531,12.184,1.1816,0.58153,1.8728,7.6876,7.349,0.0095276,6.5368,6.1971,0.027862,3.4283,3.8866,0
2,14.883,-2.0787,1,0.5017,0.2936,1.0292,0.5,0.2716,-8.3309,76.966,-14.281,1.7127,9.4406,0.92018,0.37688,3.8974,10.149,1.1751,0.85297,2.0844,7.8472,6.7887,0.0094635,6.7346,5.5912,0.023781,3.6324,3.5294,0
3,13.899,-2.6973,1,0.41733,0.30404,0.91169,0.5,0.27153,-8.1369,80.056,-16.814,1.6697,8.642,0.91184,0.33325,4.7837,18.156,1.1452,0.6239,2.0355,7.6907,7.3335,0.015384,6.8882,6.2929,0.034011,3.5789,3.9256,0
4,14.487,-2.5249,1,0.43661,0.32854,0.87006,0.5,0.28264,-8.8248,82.737,-14.249,1.6966,8.3011,0.91033,0.3011,7.9229,21.806,1.2162,0.67614,1.9599,7.6865,7.5039,0.01295,6.3486,6.2405,0.036387,3.6861,4.2366,0
5,15.019,-2.5191,1,0.43304,0.33568,0.86013,0.5,0.26715,-9.2704,73.961,-13.798,1.71,8.8384,0.94452,0.28916,4.435,12.939,1.1765,0.65214,1.9513,7.9267,8.0497,0.012438,6.9646,6.7197,0.032271,3.8043,4.423,0
6,14.611,-2.5205,1,0.44492,0.32777,0.88886,0.5,0.26526,-9.3353,71.206,-13.905,1.7635,8.977,0.92202,0.31999,4.0309,13.816,1.1692,0.68831,1.9058,8.0588,7.7238,0.012743,6.9078,6.3515,0.02329,3.5809,4.0287,0
7,13.858,-2.496,1,0.4091,0.29202,0.9269,0.5,0.28002,-8.6522,80.048,-14.956,1.7311,9.1121,0.92148,0.33614,3.2722,14.669,1.1017,0.69835,1.9919,7.9066,7.3582,0.011317,6.5953,5.9162,0.038451,3.4456,3.7174,0
8,14.069,-2.4237,1,0.43759,0.32689,0.91939,0.5,0.29441,-9.2451,47.045,-16.604,1.7742,9.2714,0.94108,0.29343,4.8163,11.502,1.1891,0.70823,1.9288,8.247,7.599,0.016043,6.4826,5.9802,0.046169,3.4635,3.7671,0
9,11.641,-2.5436,1,0.41048,0.33235,0.92638,0.5,0.2844,-9.2798,81.486,-14.206,1.8393,8.5942,0.90928,0.30188,5.9351,11.347,1.1686,0.82944,1.8905,7.7705,7.2852,0.016435,6.5203,6.1561,0.04383,3.7616,4.0605,0
10,15.723,-2.2453,1,0.45928,0.28427,0.98975,0.5,0.28878,-9.0987,73.458,-14.038,1.7358,8.6224,0.92675,0.34948,5.5607,12.621,1.1262,0.77713,2.2057,7.8505,6.9402,0.010581,6.5953,5.5344,0.027149,3.9969,4.0383,0
11,13.963,-2.3458,1,0.50079,0.30993,0.9241,0.5,0.28623,-8.7182,67.578,-16.642,1.6637,8.8644,0.93749,0.29532,6.1844,10.63,1.3018,0.83577,1.7694,7.8667,7.093,0.01484,6.521,5.8498,0.030874,3.6965,4.0001,0
12,16.142,-2.4518,1,0.41044,0.34121,0.93106,0.5,0.23174,-9.0115,75.168,-13.844,1.8191,8.5508,0.93656,0.31839,4.5877,12.367,1.0878,0.93436,1.9453,8.644,8.222,0.01278,7.8826,7.2682,0.023557,4.304,4.6227,0
13,14.126,-2.5165,1,0.44531,0.3279,0.88551,0.5,0.26255,-9.0471,81.175,-13.537,1.7557,8.9205,0.92369,0.31241,5.1421,11.087,1.1871,0.69144,1.7629,8.1509,7.779,0.013467,7.1649,6.551,0.037275,3.3693,3.8049,0
14,14.882,-2.3576,1,0.37626,0.29691,0.7033,0.5,0.31904,-7.8962,69.878,-18.328,1.789,8.1112,0.92843,0.32059,5.7362,14.815,1.2262,0.36761,1.8255,7.1028,8.4337,0.01287,6.2505,7.2099,0.03373,3.1169,4.4318,0
15,14.768,-2.3715,1,0.43499,0.30692,1.0228,0.5,0.26446,-8.7851,76.692,-13.145,1.7349,8.9838,0.92415,0.32339,5.7541,12.823,1.1456,0.77101,2.225,8.4594,7.1415,0.014967,7.1952,5.7205,0.029585,3.6442,3.5629,0
16,14.304,-2.5829,1,0.41391,0.30172,0.77481,0.5,0.30151,-8.8215,77.241,-16.228,1.7175,9.2405,0.93268,0.28897,7.0319,12.503,1.2409,0.57843,1.7306,8.0474,8.5294,0.012875,6.8195,6.9266,0.04346,3.5645,4.6005,0
17,15.483,-2.434,1,0.41885,0.26919,0.9068,0.5,0.24766,-9.0485,79.881,-16.391,1.6008,9.1081,0.93697,0.32713,4.4077,14.846,1.1751,0.70414,2.0517,8.0567,7.7271,0.012891,7.0667,6.3589,0.03864,3.8569,4.2533,0
18,14.519,-2.557,1,0.45328,0.33421,0.8932,0.5,0.2802,-8.2814,76.586,-13.934,1.6979,9.2052,0.92799,0.3149,4.0755,12.078,1.3223,0.64278,1.7775,7.9234,7.5655,0.011795,6.8724,6.2586,0.033019,3.2476,3.6359,0
