1,15.389,-2.5,1,0.44337,0.33376,0.88208,0.5,0.26398,-9.1071,81.328,-12.616,1.7099,8.7109,0.92511
121,14.807,-2.3808,1,0.42694,0.30452,0.92566,0.5,0.27033,-9.0977,79.767,-14.985,1.7403,8.3309,0.90723
41,14.445,-2.5392,1,0.44766,0.34085,0.91213,0.5,0.25988,-9.2682,65.323,-13.276,1.7964,8.8803,0.94121
81,15.441,-2.4791,1,0.42892,0.33638,0.96549,0.5,0.26957,-8.6745,67.246,-13.483,1.813,9.0493,0.93001
1,15.389,-2.5,1,0.44337,0.33376,0.88208,0.5,0.26398,-9.1071,81.328,-12.616,1.7099,8.7109,0.92511
81,15.441,-2.4791,1,0.42892,0.33638,0.96549,0.5,0.26957,-8.6745,67.246,-13.483,1.813,9.0493,0.93001
81,15.441,-2.4791,1,0.42892,0.33638,0.96549,0.5,0.26957,-8.6745,67.246,-13.483,1.813,9.0493,0.93001
1,15.389,-2.5,1,0.44337,0.33376,0.88208,0.5,0.26398,-9.1071,81.328,-12.616,1.7099,8.7109,0.92511
81,15.441,-2.4791,1,0.42892,0.33638,0.96549,0.5,0.26957,-8.6745,67.246,-13.483,1.813,9.0493,0.93001
81,15.441,-2.4791,1,0.42892,0.33638,0.96549,0.5,0.26957,-8.6745,67.246,-13.483,1.813,9.0493,0.93001
82,14.719,-2.3909,1,0.40896,0.26504,0.86121,0.5,0.30271,-9.117,80.512,-15.834,1.8402,8.0694,0.92924
83,14.738,-2.4831,1,0.437,0.32977,0.90445,0.5,0.26571,-8.5571,78.67,-13.455,1.7978,8.9824,0.93284
41,14.445,-2.5392,1,0.44766,0.34085,0.91213,0.5,0.25988,-9.2682,65.323,-13.276,1.7964,8.8803,0.94121
82,14.719,-2.3909,1,0.40896,0.26504,0.86121,0.5,0.30271,-9.117,80.512,-15.834,1.8402,8.0694,0.92924
84,14.602,-2.4753,1,0.45399,0.32302,0.90624,0.5,0.27116,-8.7846,76.568,-14.394,1.7312,8.7259,0.91087
85,14.54,-2.3959,1,0.44192,0.29547,0.99381,0.5,0.28279,-8.8755,76.135,-12.845,1.8248,8.7354,0.94256
83,14.738,-2.4831,1,0.437,0.32977,0.90445,0.5,0.26571,-8.5571,78.67,-13.455,1.7978,8.9824,0.93284
42,13.891,-2.6295,1,0.40222,0.27548,0.93844,0.5,0.28844,-8.4418,81.969,-15.887,1.6718,8.6372,0.92183
86,12.813,-2.4341,1,0.44313,0.34454,0.93625,0.5,0.26541,-9.0892,76.606,-17.365,1.6257,8.3873,0.92559
43,13.963,-2.4116,1,0.40728,0.31589,0.93683,0.5,0.26366,-9.4831,76.32,-14.2,1.8198,9.0412,0.93234
84,14.602,-2.4753,1,0.45399,0.32302,0.90624,0.5,0.27116,-8.7846,76.568,-14.394,1.7312,8.7259,0.91087
87,6.8269,-2.6459,1,0.43622,0.32467,0.78878,0.5,0.28779,-10.158,93.729,-16.498,1.5801,9.1537,0.90807
88,14.314,-2.5141,1,0.38176,0.335,1.0365,0.5,0.27715,-8.214,68.961,-12.68,1.7107,8.9706,0.94419
85,14.54,-2.3959,1,0.44192,0.29547,0.99381,0.5,0.28279,-8.8755,76.135,-12.845,1.8248,8.7354,0.94256
44,14.81,-2.4294,1,0.41865,0.28338,0.94756,0.5,0.28335,-9.077,79.694,-17.096,1.5936,8.7162,0.92592
89,15.269,-2.4717,1,0.45019,0.30786,0.94351,0.5,0.27244,-9.0449,70.918,-14.33,1.6853,8.6304,0.93895
