Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25
0.33056,38.371,31.116,14.566,-0.1728639342155981,0.05,-0.9038200000000001,1.1084,0.99322,1.0,14.087051747315575,1.9798451294920507,9.378203874059881,0.8798899717942268,0.92835,0.008758352046281843,1.7907,0.76318,-1.5719,0.0,0.0,0.28004,1.7493,15.173778060000002,0.09296000000000004
0.50554,52.787,26.168,14.131,-0.15577952547749652,0.05,-0.86671,1.126,0.94582,1.0,16.16785727722313,2.5468310904487574,9.174380455400557,0.8456313673056772,0.83769,0.008026274474349343,1.7903,0.7858499999999999,-1.5361000000000002,0.0,0.0,0.27627,1.6936,15.184986960000002,0.06981000000000004
0.46365,38.661,24.088,15.389,-0.15254133870278846,0.05,-0.9107100000000001,1.0979,0.88208,1.0,15.342295783366717,2.2380022161576307,8.357798449338663,0.7134617774953128,0.58153,0.004729616235852559,1.8728,0.81328,-1.2616,0.0,0.0,0.26398,1.7099,14.89476791,0.07489000000000001
0.36838,37.77,32.109,14.653,-0.1799782789241679,0.05,-0.9291,1.1059,0.82559,1.0,10.970009539855653,1.184135787372066,4.857994190432227,0.2676695805665307,0.65304,0.0068638205293567785,1.8747,0.82676,-1.6422,0.0,0.0,0.28308,1.6131,15.48511476,0.07065999999999995
0.52565,31.975,23.202,14.883,-0.13087577913492415,0.05,-0.83309,1.1135,1.0292,1.0,24.177469562273984,5.998149514424428,9.983349083867587,0.9966240912003536,0.85297,0.006770968279560594,2.0844,0.76966,-1.4281000000000001,0.0,0.0,0.2716,1.7127,16.16891562,0.07982
0.54736,37.94,19.752,14.859,-0.1558736364209597,0.05,-0.87419,1.0572,0.92606,1.0,16.30108227417188,2.5629586250127643,8.763613611691722,0.7755404335419365,0.69177,0.0058303775431327014,2.1338,0.7905800000000001,-1.4407,0.0,0.0,0.26175,1.7713,15.549534180000002,0.07250000000000001
0.47273,33.016,31.504,13.899,-0.1810389959057655,0.05,-0.8136900000000001,1.0681,0.91169,1.0,15.43668523468787,2.2932789743590956,8.097087369252787,0.667964116170655,0.6239,0.004973170706758751,2.0355,0.8005599999999999,-1.6814,0.0,0.0,0.27153,1.6697,14.429547399999999,0.08816000000000002
0.47011,33.87,19.569,14.26,-0.141913499344692,0.05,-0.9038200000000001,1.0189,1.0648,1.0,21.715661686435354,4.95871363829231,12.514962758079095,1.5891780531759034,1.0629,0.009770156538392855,1.9262,0.68985,-1.4526000000000001,0.0,0.0,0.23852,1.6688,16.3200296,0.05781999999999998
0.47055,35.855,27.25,14.487,-0.16303351197778784,0.05,-0.88248,1.1382,0.87006,1.0,14.70501555007162,2.056697928607769,8.023996271610198,0.6625290208792811,0.67614,0.006487812631667314,1.9599,0.8273699999999999,-1.4249,0.0,0.0,0.28264,1.6966,14.08364626,0.08967000000000003
0.45694,33.063,16.796,11.536,-0.1931716656030632,0.05,-1.0969,1.0623,1.1121,1.0,25.983436923606988,7.514164197723127,16.13432978017037,2.7465704185586386,1.1872,0.011099461361556727,2.2782,0.25883,-1.199,0.0,0.0,0.31508,1.9634,15.646138259999999,0.06510000000000005
